pas	CNTRL_29765	KD_29766	CNTRL_32682	KD_32683	PAS_overlap
chr2:+:37204743:TE	42.67	104.04	47.90	149.05	OK
chr4:+:98442664:TE	8.23	7.48	14.27	9.46	OK
chr4:+:98443857:TE	6.83	2.01	6.80	1.96	OK
chr12:-:32747152:TE	2.64	0.89	3.73	1.85	OVERLAP
chr12:-:32747013:TE	19.10	22.54	18.93	12.50	OVERLAP
chr19:+:49625873:TE	0.29	1.79	1.60	2.28	OK
chr19:+:49626438:TE	31.98	14.06	11.73	9.02	OK
chr10:-:28052701:TE	0.29	0.45	1.33	0.54	OK
chr10:-:28051174:TE	19.10	10.71	12.40	10.34	OVERLAP
chr10:-:28050996:TE	4.11	4.69	2.53	2.50	OVERLAP
chr17:-:42315561:TE	0.88	0.45	2.00	0.98	OVERLAP
chr17:-:42315471:TE	0.00	1.12	0.40	0.33	OVERLAP
chr17:-:42313324:TE	29.68	38.27	31.47	34.45	OK
chr10:+:74708723:TE	54.36	49.54	29.51	48.18	OVERLAP
chr10:+:74709048:TE	26.45	31.02	25.20	30.12	OVERLAP
chr10:+:74709117:TE	0.59	0.67	1.20	1.20	OVERLAP
chr10:+:74709289:TE	19.98	14.34	7.20	8.40	OVERLAP
chr16:-:47155561:TE	4.70	5.13	5.73	4.89	OVERLAP
chr16:-:47155365:TE	38.94	58.55	61.51	56.48	OVERLAP
chr10:+:252889:TE	1.76	0.67	0.67	0.54	OK
chr10:+:253538:TE	0.00	0.45	1.07	0.87	OK
chr10:+:254636:TE	8.82	19.64	27.13	20.80	OK
chr6:-:28903843:TE	4.63	3.36	6.89	5.30	OK
chr6:-:28903003:TE	2.18	3.60	6.00	8.39	OK
chr11:-:62625065:TE	5.58	3.79	5.47	2.93	OVERLAP
chr11:-:62625044:TE	0.88	0.45	1.87	0.43	OVERLAP
chr11:-:62624816:TE	118.31	128.44	58.60	84.36	OVERLAP
chr18:+:3278206:TE	157.74	122.62	154.31	146.46	OVERLAP
chr18:+:3278271:TE	285.74	320.07	295.91	351.00	OVERLAP
chr10:+:96995696:TE	1.18	0.67	0.00	0.98	OVERLAP
chr10:+:96995954:TE	5.58	3.15	3.20	4.13	OVERLAP
chr12:+:69601505:TE	1.18	1.12	0.93	0.00	OVERLAP
chr12:+:69601569:TE	315.64	348.42	363.98	307.97	OVERLAP
chr1:-:100873898:TE	0.59	1.79	0.00	0.11	OK
chr1:-:100872370:TE	58.31	75.54	30.98	39.83	OK
chr13:+:112883958:TE	0.88	1.12	0.67	0.22	OK
chr13:+:112884709:TE	2.06	0.67	1.60	0.33	OK
chr13:+:112886821:TE	0.88	2.01	1.07	2.28	OVERLAP
chr13:+:112887018:TE	14.99	11.49	5.07	7.39	OVERLAP
chr13:+:112887177:TE	16.75	13.17	14.18	17.06	OVERLAP
chr17:-:44206594:TE	41.29	47.98	50.40	43.80	OK
chr17:-:44205036:TE	3.23	4.91	4.27	2.61	OK
chr1:+:204549713:TE	4.11	2.01	3.33	0.76	OK
chr1:+:204554200:TE	0.66	0.89	3.00	0.43	OK
chr1:+:204554967:TE	1.76	1.56	3.33	2.72	OK
chr1:+:204558118:TE	24.73	68.96	24.27	21.97	OK
chr7:+:134679719:TE	0.88	0.00	1.20	0.33	OVERLAP
chr7:+:134679807:TE	25.33	29.24	37.76	45.03	OVERLAP
chr2:-:241495160:TE	0.00	0.00	0.40	1.03	OVERLAP
chr2:-:241495100:TE	5.29	16.63	10.69	11.10	OVERLAP
chr2:-:241495022:TE	65.04	64.07	92.71	68.63	OVERLAP
chr2:-:241494721:TE	5.29	3.79	10.87	10.00	OVERLAP
chr1:+:156594128:TE	88.97	67.70	149.20	89.72	OVERLAP
chr1:+:156594188:TE	6.46	6.92	17.47	15.79	OVERLAP
chr1:+:156594297:TE	24.97	25.71	41.03	43.72	OVERLAP
chr7:-:123542060:TE	9.14	18.15	15.04	24.87	OVERLAP
chr7:-:123541972:TE	0.29	1.12	1.07	1.63	OVERLAP
chr7:-:123541926:TE	0.29	0.89	0.40	1.09	OVERLAP
chr7:-:123541543:TE	2.64	4.69	7.20	10.06	OVERLAP
chr7:-:123541506:TE	1.18	1.34	0.67	1.34	OVERLAP
chr7:-:123541030:TE	52.72	88.45	59.07	109.10	OK
chr7:-:123537001:TE	0.00	1.12	0.67	1.63	OK
chr8:-:98042745:TE	0.29	0.00	0.67	1.74	OVERLAP
chr8:-:98042687:TE	3.62	4.63	6.17	9.02	OVERLAP
chr1:-:226993266:TE	1.47	0.22	0.40	0.22	OK
chr1:-:226992725:TE	2.35	0.00	4.93	1.52	OK
chr1:-:226989866:TE	23.07	12.27	19.33	15.78	OK
chr6:+:52686289:TE	15.87	14.51	14.60	8.04	OVERLAP
chr6:+:52686585:TE	76.35	128.91	94.33	92.51	OVERLAP
chr3:+:50118894:TE	0.00	0.45	0.67	1.41	OVERLAP
chr3:+:50118967:TE	92.62	96.80	107.00	120.59	OVERLAP
chr7:+:155462887:TE	5.88	10.71	7.07	6.74	OVERLAP
chr7:+:155463050:TE	1.18	2.45	0.13	0.65	OVERLAP
chr7:+:155463123:TE	6.76	19.42	3.07	7.83	OVERLAP
chr7:+:155464840:TE	2.35	1.34	4.93	1.85	OK
chr5:+:10264845:TE	2.64	1.12	2.67	2.07	OVERLAP
chr5:+:10264925:TE	199.40	160.31	176.32	140.64	OVERLAP
chr5:+:10265011:TE	337.55	313.33	366.95	245.50	OVERLAP
chr5:+:10265078:TE	142.99	211.99	108.58	124.20	OVERLAP
chr5:+:10266388:TE	15.76	23.88	9.73	16.19	OK
chr2:+:74214336:TE	2.42	2.50	1.47	0.98	OVERLAP
chr2:+:74214639:TE	3.09	3.79	0.93	2.45	OVERLAP
chr2:+:74214674:TE	2.35	2.01	1.47	0.43	OVERLAP
chr2:+:74214974:TE	1.47	2.01	2.40	3.26	OVERLAP
chr2:+:74215045:TE	0.29	2.01	0.40	0.11	OVERLAP
chr2:+:74215121:TE	51.20	109.07	49.67	57.84	OVERLAP
chr2:+:74215253:TE	1.62	1.56	1.07	1.14	OVERLAP
chr2:+:74215287:TE	76.79	274.39	167.74	258.86	OVERLAP
chr2:+:74217557:TE	10.91	6.47	25.57	9.22	OK
chr1:-:1716452:TE	3.31	2.79	1.07	0.95	OVERLAP
chr1:-:1716396:TE	3.97	4.69	1.00	1.58	OVERLAP
chr14:-:77718097:TE	6.17	6.25	4.27	4.35	OK
chr14:-:77717686:TE	1.18	1.34	2.33	2.07	OVERLAP
chr14:-:77717605:TE	119.44	179.76	160.67	147.79	OVERLAP
chr19:-:4047726:TE	4.11	4.46	8.60	7.12	OK
chr19:-:4046567:TE	12.73	16.44	5.37	9.05	OVERLAP
chr19:-:4046460:TE	9.11	10.27	7.37	8.33	OVERLAP
chr19:-:4046340:TE	4.21	4.35	3.87	3.80	OVERLAP
chr19:-:4045219:TE	0.59	1.12	1.73	0.87	OVERLAP
chr19:-:4044869:TE	0.00	2.23	0.27	1.09	OVERLAP
chr8:-:37843894:TE	12.12	10.27	10.07	13.59	OVERLAP
chr8:-:37843738:TE	0.29	0.89	1.07	0.87	OVERLAP
chr12:-:47077349:TE	1.03	4.95	2.13	2.61	OK
chr12:-:47076587:TE	2.35	2.01	1.33	1.41	OVERLAP
chr12:-:47076555:TE	1.18	2.23	1.73	1.30	OVERLAP
chr12:-:47076502:TE	1.47	2.68	0.53	1.41	OVERLAP
chr12:-:47076463:TE	1.76	1.56	2.53	3.04	OVERLAP
chrX:-:46606674:TE	2.06	0.00	0.27	0.11	OK
chrX:-:46606258:TE	2.64	1.79	2.40	1.30	OK
chrX:-:46602681:TE	1.47	0.22	0.80	0.00	OK
chrX:-:46602016:TE	1.76	3.79	4.00	2.83	OK
chrX:-:46599684:TE	0.29	0.89	0.80	1.09	OVERLAP
chrX:-:46599472:TE	11.75	10.99	4.87	6.28	OVERLAP
chrX:-:46599255:TE	1.76	3.12	2.27	3.48	OVERLAP
chr5:+:73580203:TE	2.94	4.02	8.80	7.72	OVERLAP
chr5:+:73580386:TE	0.00	0.00	0.67	1.09	OVERLAP
chr5:+:73581729:TE	0.59	0.45	0.67	1.20	OVERLAP
chr5:+:73581966:TE	0.07	0.69	1.21	0.54	OVERLAP
chr5:+:73582036:TE	0.88	0.45	0.67	1.30	OVERLAP
chr5:+:73583037:TE	1.47	0.22	0.67	0.22	OVERLAP
chr5:+:73583087:TE	0.00	0.22	1.60	0.54	OVERLAP
chr5:+:73583158:TE	2.06	0.45	0.27	0.11	OVERLAP
chr7:+:134065722:TE	0.00	1.34	0.53	0.22	OVERLAP
chr7:+:134065758:TE	7.35	21.03	14.13	17.21	OVERLAP
chr10:+:58369595:TE	45.25	46.42	45.47	37.73	OVERLAP
chr10:+:58369646:TE	1.18	0.45	0.27	0.33	OVERLAP
chr10:+:58370748:TE	29.72	83.19	26.57	48.42	OK
chr19:+:44159016:TE	6.17	2.90	8.13	4.89	OK
chr19:+:44160303:TE	2.64	4.43	4.80	2.54	OK
chr5:-:58974014:TE	0.00	0.00	1.47	1.20	OK
chr5:-:58971378:TE	0.59	1.12	1.73	0.98	OK
chr5:-:58970072:TE	6.46	5.36	9.47	5.11	OK
chr1:+:180275112:TE	1.18	0.89	0.53	1.30	OK
chr1:+:180278981:TE	0.59	4.46	3.87	3.91	OK
chr7:+:105114029:TE	1.18	2.01	2.93	2.17	OVERLAP
chr7:+:105114084:TE	8.23	13.95	9.47	12.39	OVERLAP
chr1:+:15662029:TE	2.64	4.02	3.33	3.59	OVERLAP
chr1:+:15662293:TE	0.88	0.89	1.20	0.76	OVERLAP
chr1:+:15669043:TE	23.36	38.52	20.53	18.13	OK
chr5:+:54543716:TE	0.29	1.12	0.13	0.54	OK
chr5:+:54544570:TE	5.00	10.71	4.67	2.61	OK
chr5:+:54545865:TE	7.79	13.46	7.20	8.21	OK
chr20:-:47209350:TE	11.17	13.39	9.53	8.15	OVERLAP
chr20:-:47209214:TE	3.23	6.03	6.67	8.15	OVERLAP
chr11:+:72095596:TE	0.88	0.22	1.07	0.43	OVERLAP
chr11:+:72095837:TE	0.00	1.12	1.47	2.07	OVERLAP
chr11:+:72096896:TE	2.35	0.67	1.60	0.33	OK
chr14:-:23298589:TE	0.29	0.67	1.60	0.87	OVERLAP
chr14:-:23298300:TE	10.36	2.68	6.93	2.28	OVERLAP
chr14:-:23295916:TE	1.47	1.56	1.47	1.96	OK
chr5:+:138187582:TE	0.29	2.01	0.93	0.54	OVERLAP
chr5:+:138187660:TE	57.24	86.77	28.93	33.62	OVERLAP
chr1:+:59873580:TE	1.47	2.45	2.67	1.85	OK
chr1:+:59875037:TE	1.18	4.02	1.47	2.83	OK
chr1:+:59876269:TE	7.05	5.13	4.53	4.02	OVERLAP
chr1:+:59876335:TE	33.21	50.33	19.73	22.97	OVERLAP
chr1:+:59876368:TE	15.57	25.02	12.80	17.82	OVERLAP
chr11:-:2132583:TE	8.82	6.03	1.47	1.52	OK
chr11:-:2129108:TE	4.11	4.80	1.87	2.50	OK
chr7:-:107203412:TE	1.47	1.34	1.33	0.43	OVERLAP
chr7:-:107203328:TE	6.56	9.60	8.93	5.54	OVERLAP
chr7:-:107202727:TE	1.18	1.34	2.53	0.98	OVERLAP
chr7:-:107202558:TE	9.40	3.35	8.30	4.67	OVERLAP
chr7:-:107201744:TE	1.18	1.34	2.67	0.98	OK
chr17:-:49404845:TE	86.81	70.60	174.12	176.38	OVERLAP
chr17:-:49404801:TE	1.47	1.12	3.47	3.10	OVERLAP
chr17:-:49404053:TE	41.14	32.84	46.95	49.81	OK
chr19:-:49806923:TE	1.76	2.23	0.80	0.76	OVERLAP
chr19:-:49806869:TE	32.42	19.42	26.67	23.35	OVERLAP
chr22:+:40972572:TE	2.06	0.00	4.80	1.20	OVERLAP
chr22:+:40972662:TE	228.81	197.54	518.12	221.32	OVERLAP
chr16:+:31759900:TE	2.35	3.12	4.73	6.94	OK
chr16:+:31761564:TE	3.23	2.45	2.40	2.17	OK
chr2:+:108684858:TE	1.18	1.34	1.60	0.76	OK
chr2:+:108685338:TE	0.44	0.89	0.67	1.63	OK
chr10:-:26748185:TE	2.06	2.45	2.40	2.28	OVERLAP
chr10:-:26747872:TE	9.55	7.81	4.93	7.04	OVERLAP
chr10:-:26747813:TE	20.57	28.57	23.60	27.93	OVERLAP
chr10:-:26747079:TE	2.64	4.46	3.73	5.00	OVERLAP
chr10:-:26746895:TE	8.60	15.25	5.60	11.54	OVERLAP
chr10:-:26746855:TE	2.94	3.57	1.07	1.52	OVERLAP
chr10:-:26746584:TE	1.84	0.52	0.57	1.52	OVERLAP
chr5:+:53683273:TE	0.29	0.45	1.33	0.87	OVERLAP
chr5:+:53683337:TE	247.67	174.70	217.61	242.35	OVERLAP
chr19:+:12899696:TE	3.53	0.45	2.68	1.20	OVERLAP
chr19:+:12899968:TE	3.26	2.01	12.20	2.72	OVERLAP
chr4:+:128874996:TE	6.32	7.92	3.73	2.07	OVERLAP
chr4:+:128875240:TE	8.23	25.22	13.60	11.41	OVERLAP
chr1:-:161121975:TE	1.18	0.22	0.53	0.33	OVERLAP
chr1:-:161121746:TE	0.00	0.67	1.33	1.30	OVERLAP
chr1:-:161121626:TE	12.13	6.25	5.80	9.35	OVERLAP
chr1:-:161121322:TE	18.57	12.63	20.84	17.14	OVERLAP
chr1:-:161120957:TE	2.94	2.01	2.40	1.88	OVERLAP
chr17:+:39203022:TE	0.00	0.07	1.07	0.54	OVERLAP
chr17:+:39203084:TE	1.18	2.68	7.47	8.64	OVERLAP
chr12:-:107734176:TE	1.18	0.67	1.07	0.98	OVERLAP
chr12:-:107734027:TE	4.41	1.79	1.89	1.85	OVERLAP
chr3:+:14671205:TE	10.43	5.58	6.31	2.50	OVERLAP
chr3:+:14671479:TE	0.00	0.00	1.48	0.43	OVERLAP
chr3:+:14672653:TE	28.28	20.31	15.33	16.71	OK
chr12:+:6538110:TE	4.55	1.19	3.51	5.07	OVERLAP
chr12:+:6538221:TE	11.31	7.14	7.42	5.81	OVERLAP
chr12:+:6538289:TE	1.18	0.89	1.73	1.41	OVERLAP
chr12:+:6538319:TE	0.59	0.22	1.27	2.23	OVERLAP
chr12:+:6538370:TE	3864.81	2436.95	3351.28	2494.88	OVERLAP
chr17:+:74838479:TE	6.46	2.45	3.33	3.37	OK
chr17:+:74839750:TE	4.41	5.82	10.40	10.76	OK
chr6:-:117563237:TE	0.88	0.89	2.29	1.47	OK
chr6:-:117561678:TE	1.76	3.79	8.93	4.56	OK
chr6:-:117560636:TE	1.54	3.12	5.22	2.50	OVERLAP
chr6:-:117560272:TE	41.43	67.23	28.53	38.26	OVERLAP
chr3:-:183815917:TE	8.52	4.91	12.53	14.46	OVERLAP
chr3:-:183815882:TE	3.82	2.90	3.87	5.76	OVERLAP
chr15:-:41387418:TE	2.06	2.01	1.33	1.30	OVERLAP
chr15:-:41387355:TE	19.10	20.53	21.16	19.78	OVERLAP
chr3:+:133819909:TE	26.45	28.34	44.18	52.80	OVERLAP
chr3:+:133819988:TE	6.46	2.23	4.00	1.30	OVERLAP
chr3:+:133820231:TE	1.18	0.45	1.07	0.76	OVERLAP
chr3:+:133820623:TE	7.74	4.71	7.82	5.33	OVERLAP
chr3:+:133820679:TE	39.72	36.92	44.03	30.50	OVERLAP
chr3:+:133820797:TE	3.53	0.89	0.67	1.20	OVERLAP
chr3:+:133821491:TE	3.92	4.46	10.00	5.72	OK
chr1:+:28538166:TE	1.76	1.34	1.87	1.52	OVERLAP
chr1:+:28538237:TE	1.47	2.68	2.53	5.00	OVERLAP
chr1:+:28539004:TE	33.99	114.04	35.20	99.12	OVERLAP
chr1:+:28539100:TE	3.23	8.48	3.73	9.13	OVERLAP
chr1:+:28539196:TE	1.18	4.24	0.93	4.89	OVERLAP
chr14:+:24239176:TE	3.23	1.34	0.53	1.20	OVERLAP
chr14:+:24239238:TE	66.62	80.23	51.69	73.06	OVERLAP
chr1:+:111767269:TE	10.58	10.27	12.20	7.83	OVERLAP
chr1:+:111767503:TE	1.47	0.67	1.07	1.20	OVERLAP
chr1:+:111767576:TE	0.59	4.02	1.47	2.28	OVERLAP
chr1:-:112525884:TE	3.23	4.91	6.27	4.67	OK
chr1:-:112525281:TE	1.76	0.22	0.67	0.98	OK
chr17:+:44559488:TE	54.95	32.36	25.13	29.45	OVERLAP
chr17:+:44559591:TE	0.88	1.12	1.33	0.87	OVERLAP
chrX:-:123621401:EX	2.64	2.01	1.07	0.65	OVERLAP
chrX:-:123621267:EX	22.69	9.82	1.47	1.09	OVERLAP
chrX:-:123621237:EX	33.97	25.96	18.86	13.86	OVERLAP
chr18:+:76969915:TE	7.93	7.59	6.80	4.78	OK
chr18:+:76970530:TE	1.47	0.45	1.07	0.98	OVERLAP
chr18:+:76970724:TE	3.23	1.12	2.13	1.85	OVERLAP
chr5:+:76734760:TE	0.29	1.34	1.07	0.98	OK
chr5:+:76735691:TE	1.18	5.13	2.67	2.61	OK
chr14:+:20457627:TE	0.29	0.67	1.60	1.09	OVERLAP
chr14:+:20457766:TE	136.99	210.85	154.08	235.94	OVERLAP
chr3:-:49270952:TE	0.00	0.67	0.00	1.20	OVERLAP
chr3:-:49270878:TE	1.76	25.66	10.80	60.21	OVERLAP
